layer,pca,val_loss,rouge1,rougeL,sentencebert,bleu
0,None,-0.9883,98.26,98.26,98.14,96.58
0,1,-0.8659,18.37,18.00,6.98,2.00
0,2,-0.8795,22.88,22.48,5.55,2.48
0,4,-0.9059,28.24,27.46,9.85,2.71
0,8,-0.9226,52.39,52.14,20.93,9.82
0,16,-0.9468,73.28,73.06,64.41,41.43
0,32,-0.9684,84.57,84.57,81.78,63.77
0,64,-0.9754,87.36,87.36,87.97,73.57
0,128,-0.9814,95.46,95.46,95.37,90.01
0,256,-0.9858,97.76,97.76,97.28,96.59
0,512,-0.9882,98.87,98.87,99.10,97.00
0,768,-0.9880,97.98,97.98,98.53,97.03
3,None,-0.9761,95.46,95.46,97.62,85.25
3,1,-0.8716,16.63,16.33,6.95,1.90
3,2,-0.8785,22.04,21.68,7.85,2.65
3,4,-0.8987,21.80,21.30,6.66,1.72
3,8,-0.9049,26.24,26.04,9.90,2.43
3,16,-0.9150,33.57,32.87,20.89,3.79
3,32,-0.9280,51.88,51.45,44.95,14.17
3,64,-0.9402,66.19,65.70,66.00,31.81
3,128,-0.9525,83.30,83.30,83.76,60.22
3,256,-0.9637,89.31,89.31,92.73,76.24
3,512,-0.9704,93.78,93.78,95.12,84.58
3,768,-0.9740,94.11,94.11,95.43,86.69
6,None,-0.9664,89.75,89.63,90.97,76.82
6,1,-0.8714,18.76,18.39,8.49,2.22
6,2,-0.8826,21.23,20.87,7.96,2.13
6,4,-0.8975,20.63,20.49,4.98,1.63
6,8,-0.9050,33.66,33.66,11.12,2.52
6,16,-0.9133,38.26,37.49,24.38,3.87
6,32,-0.9232,49.06,48.57,43.08,11.40
6,64,-0.9323,61.32,61.12,59.25,24.54
6,128,-0.9450,74.98,74.98,78.42,43.54
6,256,-0.9535,80.60,80.60,85.31,54.53
6,512,-0.9616,87.57,87.57,88.45,70.15
6,768,-0.9664,91.83,91.83,93.57,80.95
9,None,-0.9591,88.69,88.69,91.61,69.48
9,1,-0.8706,16.79,16.29,7.62,1.94
9,2,-0.8785,22.27,21.33,8.71,2.69
9,4,-0.8958,24.09,23.64,6.17,2.13
9,8,-0.9029,29.08,28.57,7.82,2.13
9,16,-0.9092,35.33,34.86,19.68,4.57
9,32,-0.9181,42.92,42.26,34.85,9.14
9,64,-0.9268,54.85,54.19,52.32,15.36
9,128,-0.9381,67.57,67.57,66.88,32.11
9,256,-0.9463,78.30,78.30,81.31,45.07
9,512,-0.9538,83.75,83.50,86.65,57.84
9,768,-0.9573,86.38,86.13,88.81,68.85
11,None,-0.9477,82.27,82.04,85.30,50.17
11,1,-0.8765,23.52,22.72,9.18,2.54
11,2,-0.8795,21.25,20.59,10.30,2.50
11,4,-0.8905,24.79,24.26,5.44,2.17
11,8,-0.8994,28.08,27.77,7.58,2.12
11,16,-0.9069,33.63,33.19,12.02,3.14
11,32,-0.9141,45.30,45.17,32.13,9.49
11,64,-0.9203,45.01,44.92,35.74,11.82
11,128,-0.9297,58.27,58.27,58.70,22.96
11,256,-0.9360,67.87,67.68,67.87,30.86
11,512,-0.9442,77.09,77.09,80.15,49.14
11,768,-0.9483,77.74,77.63,80.48,46.03
