layer,pca,val_loss,rouge1,rougeL,sentencebert,bleu
0,None,-0.9887,98.91,98.91,99.24,98.33
0,1,-0.8667,18.85,18.12,6.48,1.82
0,2,-0.8768,22.29,21.78,7.84,2.42
0,4,-0.9064,30.67,29.97,8.58,2.88
0,8,-0.9212,50.71,50.71,23.95,9.30
0,16,-0.9478,74.19,74.19,68.68,42.09
0,32,-0.9659,86.42,86.42,83.01,67.88
0,64,-0.9760,92.08,92.08,92.21,82.71
0,128,-0.9817,95.01,95.01,94.25,88.48
0,256,-0.9857,97.77,97.77,97.82,95.88
0,512,-0.9886,98.64,98.64,98.23,97.61
0,768,-0.9877,99.14,99.14,99.03,97.93
3,None,-0.9749,96.71,96.71,97.89,92.09
3,1,-0.8715,18.31,17.55,8.05,2.16
3,2,-0.8790,21.45,21.01,6.75,2.39
3,4,-0.9003,19.59,19.34,4.69,1.25
3,8,-0.9058,29.83,29.44,9.61,2.84
3,16,-0.9157,37.07,36.70,17.03,4.45
3,32,-0.9291,58.54,58.54,50.18,15.79
3,64,-0.9398,65.70,65.41,65.81,30.23
3,128,-0.9536,86.54,86.54,84.81,65.72
3,256,-0.9643,89.71,89.51,91.24,73.10
3,512,-0.9692,93.60,93.60,94.79,80.93
3,768,-0.9737,95.65,95.65,95.12,89.58
6,None,-0.9675,92.61,92.51,92.12,82.39
6,1,-0.8810,20.74,20.08,7.54,2.25
6,2,-0.8836,18.87,18.64,6.20,2.05
6,4,-0.8990,23.32,22.73,4.78,1.58
6,8,-0.9048,30.50,29.94,8.58,2.09
6,16,-0.9137,32.42,31.85,24.44,4.97
6,32,-0.9240,52.78,52.53,43.07,12.81
6,64,-0.9344,62.82,62.82,60.25,28.40
6,128,-0.9468,75.89,75.89,78.05,47.38
6,256,-0.9555,84.80,84.80,90.38,65.42
6,512,-0.9620,89.47,89.47,91.83,72.04
6,768,-0.9653,92.05,92.05,94.83,79.81
9,None,-0.9584,88.93,88.93,91.99,71.47
9,1,-0.8670,15.57,14.54,8.22,1.42
9,2,-0.8760,15.06,15.06,6.40,2.01
9,4,-0.8974,24.75,24.48,4.88,1.97
9,8,-0.9029,29.08,28.57,7.82,2.13
9,16,-0.9089,35.25,34.96,17.85,4.85
9,32,-0.9185,42.35,41.87,37.82,6.81
9,64,-0.9285,57.66,57.49,53.28,21.66
9,128,-0.9385,67.59,67.43,70.30,33.22
9,256,-0.9473,77.45,77.45,80.50,45.30
9,512,-0.9553,87.81,87.81,91.45,68.08
9,768,-0.9579,85.41,85.41,88.59,62.48
11,None,-0.9499,81.72,81.72,83.15,53.98
11,1,-0.8790,20.78,19.88,7.20,2.23
11,2,-0.8773,20.18,19.25,8.25,2.52
11,4,-0.8773,20.77,19.87,8.48,2.32
11,8,-0.8919,25.45,25.06,5.27,2.24
11,16,-0.8976,29.30,28.80,8.16,2.12
11,32,-0.9065,35.04,34.11,13.98,4.59
11,64,-0.9141,33.97,33.22,23.47,3.77
11,128,-0.9225,50.29,49.78,43.21,13.11
11,256,-0.9301,59.59,59.37,57.18,23.15
11,512,-0.9375,67.67,67.67,69.03,28.16
11,768,-0.9437,72.85,72.66,73.07,38.00
