layer,pca,val_loss,rouge1,rougeL,sentencebert,bleu
0,None,-0.9883,98.26,98.26,98.14,96.58
0,1,-0.8708,18.82,18.82,8.33,2.34
0,2,-0.8784,21.25,20.38,6.34,2.60
0,4,-0.9056,29.65,29.43,5.03,2.22
0,8,-0.9217,47.82,47.82,20.07,8.82
0,16,-0.9484,72.68,72.68,62.86,40.05
0,32,-0.9682,86.80,86.80,82.05,68.66
0,64,-0.9776,91.85,91.85,91.81,79.63
0,128,-0.9815,96.18,96.18,96.21,91.45
0,256,-0.9863,97.99,97.99,97.74,96.49
0,512,-0.9882,98.74,98.74,98.47,97.43
0,768,-0.9878,98.64,98.64,98.14,97.39
3,None,-0.9761,95.46,95.46,97.62,85.25
3,1,-0.8708,16.89,16.74,8.55,2.00
3,2,-0.8807,17.76,17.07,8.21,2.26
3,4,-0.8994,22.84,22.64,5.28,1.56
3,8,-0.9078,34.71,34.30,11.32,2.46
3,16,-0.9158,40.00,39.88,25.73,6.79
3,32,-0.9302,55.28,55.28,46.72,15.84
3,64,-0.9428,67.26,67.20,70.24,29.98
3,128,-0.9545,80.48,80.17,87.11,53.06
3,256,-0.9647,89.15,89.15,92.79,73.78
3,512,-0.9705,91.48,91.48,92.40,80.10
3,768,-0.9739,95.19,95.19,96.88,88.84
6,None,-0.9664,89.75,89.63,90.97,76.82
6,1,-0.8717,21.37,20.64,9.23,2.57
6,2,-0.8817,20.65,20.31,7.95,2.34
6,4,-0.8981,20.95,20.95,6.98,1.66
6,8,-0.9064,31.18,30.50,9.66,3.17
6,16,-0.9137,32.27,31.83,21.62,3.07
6,32,-0.9229,45.34,44.90,37.02,9.05
6,64,-0.9347,66.23,65.99,63.36,26.63
6,128,-0.9455,81.02,80.82,83.41,52.17
6,256,-0.9550,83.37,82.79,86.06,58.07
6,512,-0.9619,88.72,88.72,91.12,74.32
6,768,-0.9644,91.51,91.51,90.59,78.32
9,None,-0.9591,88.69,88.69,91.61,69.48
9,1,-0.8692,17.31,16.40,7.80,1.97
9,2,-0.8744,16.31,16.31,8.69,2.02
9,4,-0.8950,23.06,22.81,6.96,1.90
9,8,-0.9029,26.80,26.38,9.43,1.95
9,16,-0.9095,32.12,31.21,16.36,3.73
9,32,-0.9169,46.39,46.18,34.27,8.82
9,64,-0.9277,54.09,53.94,50.18,16.11
9,128,-0.9384,69.15,68.96,70.99,34.96
9,256,-0.9472,76.81,76.63,80.71,46.30
9,512,-0.9537,81.83,81.66,85.76,53.83
9,768,-0.9589,85.34,85.34,89.08,63.70
11,None,-0.9477,82.27,82.04,85.30,50.17
11,1,-0.8754,18.40,17.60,6.95,2.06
11,2,-0.8773,20.28,20.11,10.78,2.49
11,4,-0.8912,21.11,20.32,6.83,2.03
11,8,-0.8996,30.26,30.12,7.78,2.11
11,16,-0.9070,36.88,35.52,11.57,4.01
11,32,-0.9148,39.59,39.00,25.07,4.90
11,64,-0.9211,51.16,50.34,40.60,13.09
11,128,-0.9297,57.80,57.80,53.92,19.63
11,256,-0.9375,70.64,70.50,68.94,34.02
11,512,-0.9454,73.06,73.06,78.65,40.33
11,768,-0.9483,78.03,78.03,78.90,47.88
