layer,pca,val_loss,rouge1,rougeL,sentencebert,bleu
0,None,-0.9757,94.37,94.37,95.68,86.33
0,1,-0.8648,21.85,21.45,6.36,2.43
0,2,-0.8788,20.32,19.41,7.58,2.63
0,4,-0.9074,28.57,26.79,8.25,2.88
0,8,-0.9229,50.15,49.63,19.92,9.91
0,16,-0.9487,73.75,73.75,66.58,39.98
0,32,-0.9685,86.67,86.48,85.46,69.24
0,64,-0.9760,90.65,90.65,90.08,79.33
0,128,-0.9824,97.01,97.01,97.16,93.98
0,256,-0.9868,97.64,97.64,98.15,93.36
0,512,-0.9878,97.99,97.99,97.21,95.80
0,768,-0.9879,99.53,99.53,99.13,99.09
3,None,-0.9588,89.49,89.49,92.53,73.29
3,1,-0.8708,16.76,16.30,6.79,2.04
3,2,-0.8788,22.02,21.22,7.24,2.52
3,4,-0.9001,26.14,26.02,6.13,1.73
3,8,-0.9062,28.87,28.16,7.94,2.41
3,16,-0.9163,39.59,39.03,24.32,4.38
3,32,-0.9291,57.74,57.74,54.63,21.33
3,64,-0.9410,71.49,71.32,70.86,34.39
3,128,-0.9535,83.75,83.75,85.58,60.48
3,256,-0.9641,90.05,90.05,91.37,79.80
3,512,-0.9692,93.60,93.60,94.79,80.93
3,768,-0.9737,95.65,95.65,95.12,89.58
6,None,-0.9477,82.27,82.04,85.30,50.17
6,1,-0.8701,20.63,19.43,6.58,1.82
6,2,-0.8810,20.74,20.08,7.54,2.25
6,4,-0.8990,23.32,22.73,4.78,1.58
6,8,-0.9074,30.83,30.35,9.52,2.39
6,16,-0.9141,33.97,33.22,23.47,3.77
6,32,-0.9240,52.78,52.53,43.07,12.81
6,64,-0.9344,62.82,62.82,60.25,28.40
6,128,-0.9457,78.73,78.57,78.17,51.31
6,256,-0.9555,84.80,84.80,90.38,65.42
6,512,-0.9620,89.47,89.47,91.83,72.04
6,768,-0.9653,92.05,92.05,94.83,79.81
9,None,-0.9536,86.54,86.54,84.81,65.72
9,1,-0.8670,15.57,14.54,8.22,1.42
9,2,-0.8760,15.06,15.06,6.40,2.01
9,4,-0.8966,26.47,25.31,7.90,2.20
9,8,-0.9029,29.08,28.57,7.82,2.13
9,16,-0.9103,37.03,36.77,17.64,4.55
9,32,-0.9183,45.24,45.14,36.51,7.58
9,64,-0.9278,61.86,61.71,60.03,23.53
9,128,-0.9383,70.64,70.64,71.68,33.61
9,256,-0.9468,75.89,75.89,78.05,47.38
9,512,-0.9536,84.55,84.41,89.70,58.45
9,768,-0.9574,84.95,84.95,88.31,64.68
11,None,-0.9485,79.93,79.93,82.11,50.14
11,1,-0.8748,18.75,18.45,10.05,2.28
11,2,-0.8773,20.77,19.87,8.48,2.32
11,4,-0.8790,20.78,19.88,7.20,2.23
11,8,-0.8912,24.94,24.29,6.59,2.20
11,16,-0.8976,29.30,28.80,8.16,2.12
11,32,-0.9065,35.04,34.11,13.98,4.59
11,64,-0.9134,41.66,40.98,27.03,6.87
11,128,-0.9209,54.25,54.25,43.37,15.56
11,256,-0.9285,57.66,57.49,53.28,21.66
11,512,-0.9369,67.56,67.56,68.41,32.88
11,768,-0.9449,75.33,75.33,77.14,40.52
11,768,-0.9488,81.53,81.42,81.14,52.35
